name,price,services/0,services/1,details/0,details/1,details/2,details/3,details/4,details/5,details/6,details/7,details/8,response_details/0,response_details/1,response_details/2,response_details/3,response_details/4,response_details/5,response_details/6,response_details/7,response_details/8,details/9,details/10,response_details/9,response_details/10,services/2,services/3,services/4,services/5,services/6,services/7
Hyundai Tucson TUCSON GLS 1.6 TURBO 16V AUT.,156.990,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Hyundai,Tucson,2020,TUCSON GLS 1.6 TURBO 16V AUT.,Branco,Gasolina,4,Automática,35000 km,,,,,,,,,,
Chevrolet Onix 1.0 FLEX PLUS LT MANUAL,85.990,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Onix,2023,1.0 FLEX PLUS LT MANUAL,Cinza-escuro,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,0 km,,,,,,
Ford Ka 1.0 SE 12V,53.990,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Ford,Ka,2018,1.0 SE 12V,Branco,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,65386 km,,,,,,
Ford Ka Ka 1.0 MPI 8V FLEX 2P MANUAL,23.800,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Quilômetros,,Ford,Ka,2012,Ka 1.0 MPI 8V FLEX 2P MANUAL,Prateado,Gasolina e álcool,2,120710 km,,,,,,,,,,,
Jeep Renegade 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,85.990,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Jeep,Renegade,2018,1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO,Cinza-escuro,Gasolina e álcool,4,Automática,1.8,Tipo de carroceria,Quilômetros,SUV,78389 km,,,,,,
Jeep Compass 2.0 16V LONGITUDE,103.890,Aceita troca,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Jeep,Compass,2017,2.0 16V LONGITUDE,Prateado,Gasolina e álcool,4,Automática,2.0,Tipo de carroceria,Quilômetros,SUV,79159 km,,,,,,
Jeep Compass 1.3 T270 TURBO FLEX LONGITUDE AT6,165.990,Único dono,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Jeep,Compass,2023,1.3 T270 TURBO FLEX LONGITUDE AT6,Preto,Gasolina e álcool,4,Automática,1.3 T270 TURBO FLEX LONGITUDE AT6,Tipo de carroceria,Quilômetros,SUV,0 km,,,,,,
Hyundai HB20 1.0 COMFORT 12V,50.900,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Hyundai,HB20,2015,1.0 COMFORT 12V,Branco,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,72000 km,,,,,,
Toyota Corolla 2.0 XEI 16V,66.900,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Toyota,Corolla,2013,2.0 XEI 16V,Prateado,Gasolina e álcool,4,Automática,Sedã,Quilômetros,,108805 km,,,,,,,
Toyota Corolla COROLLA XRS 2.0 FLEX 16V AUT.,66.899,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Toyota,Corolla,2013,COROLLA XRS 2.0 FLEX 16V AUT.,Prateado,Gasolina e álcool,4,Automática,150000 km,,,,,,,,,,
